               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038655,             0.02245,           0.0010639,             0.86987,             0.85192,              0.8444,             0.50587,            0.046137,            0.027374,          0.00048297,            0.006535,            0.006535,            0.006535
                  37,             0.03914,            0.022956,           0.0011455,             0.87993,             0.83823,             0.84421,             0.52716,            0.046061,            0.028349,          0.00055236,            0.006436,            0.006436,            0.006436
                  38,            0.038339,            0.022391,           0.0009745,                0.86,             0.84545,             0.83756,             0.45228,            0.050389,            0.028475,          0.00049635,            0.006337,            0.006337,            0.006337
                  39,            0.038092,            0.023861,          0.00080796,             0.88486,             0.83562,             0.83429,             0.48876,            0.049013,            0.030909,          0.00048227,            0.006238,            0.006238,            0.006238
                  40,            0.037094,            0.023324,          0.00084298,             0.86026,             0.83627,             0.83352,             0.46678,            0.050072,            0.028868,          0.00050341,            0.006139,            0.006139,            0.006139
                  41,            0.037664,            0.022646,          0.00086489,             0.86767,              0.8382,             0.83825,             0.51514,            0.046342,            0.028206,          0.00054382,             0.00604,             0.00604,             0.00604
                  42,            0.037734,            0.023232,          0.00072126,              0.8774,             0.84866,             0.84832,             0.51972,            0.046224,            0.028729,          0.00048774,            0.005941,            0.005941,            0.005941
                  43,            0.037337,            0.022457,          0.00099468,             0.86887,             0.82948,              0.8349,             0.45985,            0.049865,            0.030725,          0.00050136,            0.005842,            0.005842,            0.005842
                  44,            0.037083,             0.02199,           0.0010785,             0.85729,             0.82405,             0.82288,             0.44858,            0.051844,            0.030156,          0.00050744,            0.005743,            0.005743,            0.005743
                  45,            0.037048,            0.021746,           0.0010387,             0.87247,              0.8495,             0.83911,             0.52797,            0.046525,            0.026912,           0.0005146,            0.005644,            0.005644,            0.005644
                  46,            0.036522,            0.022263,           0.0008806,             0.86952,             0.83799,             0.82941,             0.47846,             0.04697,            0.027905,          0.00049573,            0.005545,            0.005545,            0.005545
                  47,            0.035866,            0.022245,          0.00073877,             0.88492,             0.83627,             0.84179,             0.50707,            0.045576,            0.028783,          0.00042193,            0.005446,            0.005446,            0.005446
                  48,            0.036416,            0.020744,          0.00075537,             0.88192,             0.83531,             0.83571,             0.51555,            0.046699,            0.029275,          0.00053822,            0.005347,            0.005347,            0.005347
                  49,            0.035392,            0.021495,          0.00069057,             0.89408,             0.83543,             0.83745,             0.47967,            0.047783,            0.028624,           0.0005539,            0.005248,            0.005248,            0.005248
                  50,            0.036563,            0.022245,          0.00079084,             0.86341,              0.8591,             0.84281,             0.50146,            0.047082,            0.029321,          0.00049913,            0.005149,            0.005149,            0.005149
                  51,            0.035446,            0.021553,           0.0010108,             0.87801,             0.85453,             0.84744,             0.51995,            0.047009,            0.028765,          0.00050299,             0.00505,             0.00505,             0.00505
                  52,            0.035243,            0.021585,          0.00080777,             0.87285,             0.85724,             0.84696,             0.50692,            0.046403,             0.02808,          0.00046313,            0.004951,            0.004951,            0.004951
                  53,            0.034881,            0.020331,           0.0007548,              0.8735,             0.84149,              0.8346,               0.494,            0.048146,            0.029589,          0.00042353,            0.004852,            0.004852,            0.004852
                  54,            0.034301,            0.021313,          0.00066042,             0.86622,             0.85388,             0.84551,             0.49482,            0.046781,            0.028994,          0.00038333,            0.004753,            0.004753,            0.004753
                  55,            0.034361,            0.021454,          0.00071074,             0.85643,             0.86396,             0.84692,             0.50104,            0.047205,             0.02834,          0.00034596,            0.004654,            0.004654,            0.004654
                  56,            0.034976,            0.021134,          0.00064468,             0.87904,              0.8357,              0.8389,             0.47908,            0.048994,            0.030199,          0.00035285,            0.004555,            0.004555,            0.004555
                  57,             0.03385,            0.020566,          0.00083791,              0.8803,             0.84371,              0.8399,             0.49826,            0.046304,            0.029069,          0.00033856,            0.004456,            0.004456,            0.004456
                  58,            0.033647,            0.020426,          0.00087665,             0.86944,             0.84414,             0.83692,             0.51763,            0.047538,            0.029322,          0.00037414,            0.004357,            0.004357,            0.004357
                  59,            0.033912,            0.020001,          0.00064892,             0.86603,              0.8369,             0.84437,             0.49753,            0.046805,            0.029958,           0.0006123,            0.004258,            0.004258,            0.004258
                  60,            0.033574,             0.02182,          0.00064097,             0.89244,             0.84335,             0.84719,             0.48632,            0.047186,            0.029688,          0.00036441,            0.004159,            0.004159,            0.004159
                  61,            0.033877,            0.021164,          0.00062632,             0.86775,             0.85584,             0.83968,             0.52838,            0.045525,            0.029171,          0.00037287,             0.00406,             0.00406,             0.00406
                  62,            0.033823,            0.020983,          0.00066199,             0.86297,             0.84997,             0.84161,             0.50291,            0.046819,            0.029327,          0.00034011,            0.003961,            0.003961,            0.003961
                  63,            0.033364,            0.021342,          0.00062373,             0.87516,             0.84214,             0.84068,              0.5083,            0.046189,             0.02943,           0.0003431,            0.003862,            0.003862,            0.003862
                  64,            0.033551,              0.0212,           0.0006939,             0.88821,             0.84522,             0.85539,             0.51798,            0.046219,            0.030104,          0.00037014,            0.003763,            0.003763,            0.003763
                  65,            0.032305,            0.020477,          0.00056336,             0.87808,              0.8441,             0.84546,             0.51123,            0.046688,            0.030193,          0.00034406,            0.003664,            0.003664,            0.003664
